Type,Environment,Width,Depth,Amplitude,Wavelength,Sandbody thickness,Belt Width,Source
MEANDERING,FLUVIAL UNDEFINED,9.943102601,2.094375055,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,18.3144524,2.133150221,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,31.04077846,2.131980177,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,41.02322656,1.738914215,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,46.66433472,10.26464535,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,74.80859298,10.48169571,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,88.60710724,6.52982126,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,89.06652474,2.607626614,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,124.0136177,3.865947877,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,187.5234659,6.60803961,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,375.9589565,5.195688456,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,384.0839917,16.14521214,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,468.3846897,7.872140012,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,535.4907833,18.95463161,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,570.2208691,5.185537673,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,815.8989832,8.416099165,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,822.3777889,2.067292066,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,1024.328508,3.255380765,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,1586.564897,10.82190167,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,2461.571698,26.62891335,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,3345.343017,21.09740956,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,6139.352618,41.1564386,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,13811.95785,15.45306143,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,4044.269551,5.976594412,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,4047.226401,5.249455591,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,1673.091779,6.543529969,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,1586.940888,7.78103297,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,2466.092206,8.1080754,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,3277.027926,9.836603041,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,3829.019379,9.82941655,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,4712.276806,9.819842728,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,4840.853113,8.259091424,,,,,"Fielding and Crane, 1987"
MEANDERING,FLUVIAL UNDEFINED,3463.356329,5.368112286,,,,,"Fielding and Crane, 1987"
